year,title_field,value
2015,Total Population,1563001
2015,Male Population,786833
2015,Male Under 5 years,60464
2015,Male 5 to 9 years,60456
2015,Male 10 to 14 years,61339
2015,Male 15 to 17 years,33349
2015,Male 18 and 19 years,20386
2015,Male 20 years,12826
2015,Male 21 years,10979
2015,Male 22 to 24 years,36299
2015,Male 25 to 29 years,60256
2015,Male 30 to 34 years,63952
2015,Male 35 to 39 years,58340
2015,Male 40 to 44 years,54952
2015,Male 45 to 49 years,50061
2015,Male 50 to 54 years,50136
2015,Male 55 to 59 years,43551
2015,Male 60 and 61 years,15445
2015,Male 62 to 64 years,23307
2015,Male 65 and 66 years,10765
2015,Male 67 to 69 years,15295
2015,Male 70 to 74 years,18028
2015,Male 75 to 79 years,13187
2015,Male 80 to 84 years,6415
2015,Male 85 years and over,7045
2015,Female Population,776168
2015,Female Under 5 years,52735
2015,Female 5 to 9 years,55631
2015,Female 10 to 14 years,53673
2015,Female 15 to 17 years,33086
2015,Female 18 and 19 years,18632
2015,Female 20 years,10956
2015,Female 21 years,10666
2015,Female 22 to 24 years,35878
2015,Female 25 to 29 years,60806
2015,Female 30 to 34 years,59150
2015,Female 35 to 39 years,60799
2015,Female 40 to 44 years,49435
2015,Female 45 to 49 years,51014
2015,Female 50 to 54 years,49469
2015,Female 55 to 59 years,44870
2015,Female 60 and 61 years,16690
2015,Female 62 to 64 years,21515
2015,Female 65 and 66 years,15247
2015,Female 67 to 69 years,16453
2015,Female 70 to 74 years,20572
2015,Female 75 to 79 years,16406
2015,Female 80 to 84 years,9926
2015,Female 85 years and over,12559
2014,Total Population,1537045
2014,Male Population,763915
2014,Male Under 5 years,59171
2014,Male 5 to 9 years,59534
2014,Male 10 to 14 years,54680
2014,Male 15 to 17 years,33595
2014,Male 18 and 19 years,21970
2014,Male 20 years,11363
2014,Male 21 years,11303
2014,Male 22 to 24 years,32021
2014,Male 25 to 29 years,61958
2014,Male 30 to 34 years,61971
2014,Male 35 to 39 years,49966
2014,Male 40 to 44 years,58826
2014,Male 45 to 49 years,50909
2014,Male 50 to 54 years,50199
2014,Male 55 to 59 years,42718
2014,Male 60 and 61 years,13994
